,nft_name,influencer_name,is_influencer_following
0,Edenhorde,BentoBoiNFT,False
1,Edenhorde,TheShamdoo,False
2,Edenhorde,dingalingts,False
3,Edenhorde,champtgram,False
4,Edenhorde,CryptoGorillaYT,False
5,Edenhorde,nftpasta,True
6,Edenhorde,MattCobuzio,False
7,Edenhorde,mulligan,False
8,Edenhorde,Crypt0Emma,False
9,Edenhorde,SkiddilyNFT,True
10,Edenhorde,NFTverse_,False
11,Edenhorde,NickyGee44,False
12,Edenhorde,allnick,False
13,Edenhorde,Cameron_singh17,False
14,Edenhorde,maxnaut,True
15,Edenhorde,LilMoonLambo,False
16,Edenhorde,SajadNFT,False
17,Edenhorde,ashrobinqt,False
18,Edenhorde,Dario_Desiena,False
19,Edenhorde,SneakyninjaNFTs,False
20,Edenhorde,KosherPlug,False
21,Edenhorde,thebrettway,False
22,Edenhorde,OttoSuwenNFT,False
23,Edenhorde,OttoSuwenNFT,False
24,Edenhorde,itstylersays,False
25,Edenhorde,hypnotizedApe,False
26,Edenhorde,NFTLlama,False
27,Edenhorde,JRNYcrypto,False
28,Edenhorde,ZssBecker,False
29,Edenhorde,SpencerCUH,False
30,Edenhorde,Archemist23NFT,False
31,Edenhorde,BattleguruNFT,False
32,Edenhorde,cbassg16,False
33,Edenhorde,Zeneca_33,False
34,Edenhorde,squidNFT,False
35,Edenhorde,elliotrades,False
36,Edenhorde,PopeyesNFTs,False
37,Edenhorde,JamesCiesluk,False
38,Edenhorde,AmeerHussainn,False
39,Edenhorde,KevinSusanto,False
40,Edenhorde,DonteCrypto,False
41,Edenhorde,JuJulikesnfts,False
42,Edenhorde,Chewtoro,False
43,Edenhorde,DCLBlogger,False
44,Edenhorde,tropoFarmer,True
45,Edenhorde,sxtvik,False
46,Edenhorde,andr3w,False
47,Edenhorde,DeezeFi,False
48,Edenhorde,fvckrender,False
49,Edenhorde,garyvee,False
50,Edenhorde,Luke360,False
51,Edenhorde,iamDCinvestor,False
