screen_name,id,followers_count,following_count,my_retweets,rt_retweets,my_replies,rt_replies,my_likes,rt_likes,my_hrs_between,rt_hrs_between,total_influencer_following,regularized_influencer_following,collection_date,MAOne,MAThree,MAFive,MAWeek,one_day_volume,one_day_change,one_day_average_price,average_price,thirty_day_average_price,total_supply,num_owners,floor_price,is_subject_to_whitelist,featured
FlipprTool,1.49E+18,164059,0,62299,1038403,42858,43019,67940,68847,42.9787037,18.58141188,10,0.388692203,27:27.1,1970.549687,1991.938194,1989.058396,1987.548557,0,0,0,0.16641674,0.09244,1,1,0.08,FALSE,FALSE
verb_labs,1.47E+18,79938,43,46633,65219,49954,57847,68364,91375,27.6240388,1.809150833,12,0.494543105,28:17.9,2066.838854,2055.371111,2050.638417,2067.372887,0.8949,-0.69126347,-0.69126347,0.113668022,0.113880436,6500,6500,0.038,FALSE,FALSE
rftpclub,1.50E+18,66948,7,1970,2018,781,804,7648,7969,60.33694444,48.26997475,6,0.319634503,42:00.9,2037.113958,2002.197118,1994.827854,2006.464048,3.3855,0.481489585,0.481489585,0.152444591,0.152444591,7000,7000,0.099,FALSE,FALSE
TheUncannyClub,1.49E+18,15493,145,12071,20066,5287,5504,22782,24522,12.98711221,6.072677469,2,0.002769801,42:17.7,2015.489167,2009.949167,2133.091667,2229.314955,20.8039,1.551404849,1.551404849,0.166781846,0.169151832,5000,5000,0.177,FALSE,FALSE
Streetlab_io,1.45E+18,16095,1572,8589,14652,4633,4915,16484,18856,10.89382647,1.946204722,2,0.068991026,42:45.3,1895.741042,1923.142812,1866.149521,1851.238497,1.31879999,-0.795595098,-0.795595098,0.222098588,0.222098588,4444,4444,0.085,FALSE,FALSE
croquetclubnft,1.48E+18,6524,2,1810,2470,1841,2110,6055,7399,40.14168687,12.98701634,4,0.161631719,00:16.3,1791.562813,1773.406944,1831.958146,1880.722232,7.65,0,0,6.164591735,6.164591735,975,975,7.7,FALSE,FALSE
OkayDuckYC,1.51E+18,4815,5,6405,16342,3857,4162,15835,18356,4.400553119,0.847110831,2,0.04811878,00:38.7,2037.113958,2002.197118,1994.827854,2006.464048,4.184942525,-0.094932303,-0.094932303,0.064961627,0.064961627,5555,5555,0.075,FALSE,FALSE
goblinainft,1.53E+18,9229,1,11882,16572,6010,7820,48396,66167,2.892593819,1.367983126,2,0.002769801,00:58.2,1869.020208,1935.906944,1969.141125,1973.150923,14.40238,-0.510493554,-0.510493554,0.057757612,0.057757612,10000,10000,0.1249,FALSE,FALSE
cheebsnft,1.49E+18,11722,488,3864,16089,1846,1945,8433,8917,39.11340366,5.120318494,0,0,01:21.2,2015.489167,2009.949167,2133.091667,2229.314955,1.943,-0.059467047,-0.059467047,0.046847525,0.046847525,10000,10000,0.0325,FALSE,FALSE
zombiestownwtf,1.52E+18,3776,19,4329,10228,1188,1260,10861,11655,3.748837868,0.99995045,0,0,16:13.0,1966.42625,1888.416736,1838.781646,1861.925446,0.3343,0.437911308,0.437911308,0.073035069,0.073035069,7777,7777,0.014,FALSE,FALSE
SadBotsNFT,1.46E+18,69287,13,71406,97704,76039,77465,88415,92688,13.87628154,7.426325515,7,0.492202236,18:21.7,3020.807292,3075.737465,3006.650813,3001.660134,0,-1,-1,0.156649552,0.02583,3090,3090,0.019,FALSE,FALSE
BoozeBears,1.47E+18,10871,82,7330,12921,5566,5647,11295,11864,17.22347603,9.936620789,0,0,18:39.0,2681.573854,2702.858194,2797.699729,2884.98625,0.4857,-0.20572363,-0.20572363,0.041555599,0.03957,3333,3333,0.0409,FALSE,FALSE
TheGoda_io,1.49118E+18,55111,7,627,1651,598,672,3292,3855,13.07775362,3.139859079,2,0.089951852,15:42.3,1778.033229,1817.277604,1801.831896,1817.994583,108.485,0.909610984,0.909610984,5.665256968,5.665256968,1000,1000,7.5,FALSE,FALSE
RuggiesOfficial,1486887097164173312,22632,2,14825,27962,12228,12312,20401,20859,23.148639088729027,11.095382183908042,1.0,0.04914078709458247,2022-06-21 03:34:38.065563,2645.1921875000003,2740.378749999998,2825.5538541666674,2794.8388690476168,0.02,0.0,0.0,0.05459871945355111,0.02259464285714287,2222.0,2222.0,0.022,False,False
nftftc,1531617628606935041,102288,2,30950,67877,19785,20208,100835,104715,3.945657181571816,2.1959992458521875,9.0,0.42486343872482485,2022-06-21 03:35:03.423292,1772.0000000000002,1792.7960763888893,1848.111104166664,1848.4827827380975,9.84744,0.8083993983901981,0.8083993983901981,0.32571035996835246,0.32571035996835246,6969.0,6969.0,0.08,False,False
BeginAsNothing,1533471757683806208,5664,0,2892,2906,2343,2370,14166,14267,2.544017241379311,2.251019647696478,3.0,0.07548024643734215,2022-06-21 03:35:18.650573,1778.0332291666673,1817.2776041666666,1801.8318958333325,1817.9945833333327,5.2622,0.44964187327823696,0.44964187327823696,0.8257241300334457,0.8257241300334457,1001.0,1001.0,0.41,False,False
pabloslol,1531672537188425728,18665,3,9483,134386,4734,5060,39754,42299,1.3506669350509928,0.28468194444444433,2.0,0.07533578754700868,2022-06-21 03:35:42.817484,1876.0106249999992,1815.2665277777776,1810.4375625,1844.9078720238083,71.2386,0.4217323362650659,0.4217323362650659,0.14564864878469602,0.14564864878469602,10000.0,10000.0,0.13,False,False
vividcojp,1508545790284906503,70379,20,24463,60957,16692,17714,45686,48970,18.274951388888887,9.371769943019945,7.0,0.3385341708774052,2022-06-21 03:49:57.835493,1821.0615625000007,1894.4096180555543,1876.4105625000013,1844.3872619047634,1.3474010000000003,-0.28039211497481853,-0.28039211497481853,0.2589587222510334,0.2589587222510334,8888.0,8888.0,0.048,False,False
quirkiesnft,1478970178931097601,52833,526,25779,67129,11899,11907,57821,57983,14.10646106736658,1.8026275000000014,5.0,0.2422908957562423,2022-06-21 03:50:25.459323,1895.7410416666662,1923.1428124999989,1866.1495208333351,1851.23849702381,13.7428,-0.010868156948485249,-0.010868156948485249,0.3874485212036079,0.3874485212036079,9494.0,9494.0,0.2,False,False
BinkiesNFT,1499356027573215234,17111,6500,6364,10368,4673,4925,13902,16666,3.1400233426704,0.3738630555555558,2.0,0.032927102234032925,2022-06-21 03:50:52.247297,1821.0615625000007,1894.4096180555543,1876.4105625000013,1844.3872619047634,1.2553000000000003,-0.46507634157046723,-0.46507634157046723,0.07550915994718742,0.07550915994718742,10000.0,10000.0,0.0285,False,False
legiongodlynft,1532022949775040516,3313,1,3659,5167,1622,1714,13491,14159,2.5085964912280705,0.9454452054794523,2.0,0.08921400076515587,2022-06-21 04:24:34.924220,1778.0332291666673,1817.2776041666666,1801.8318958333325,1817.9945833333327,1.1862000000000001,-0.47914059515269297,-0.47914059515269297,0.0719029397988511,0.0719029397988511,7777.0,7777.0,0.019,False,False
OccultTower,1533184058112454657,3237,1,2682,3627,2133,2262,8963,9895,3.5143654434250737,1.5289417989417986,1.0,0.0009908927400676575,2022-06-21 04:24:49.689132,1772.0000000000002,1792.7960763888893,1848.111104166664,1848.4827827380975,5.482899999999995,2.4093396343738305,2.4093396343738305,0.10075922533404591,0.10075922533404591,7777.0,7777.0,0.05,False,False
BoringOneNFT,1513420410053832706,13611,1,1260,2490,781,816,2814,2932,22.7467175925926,3.4387524489224726,0,0,2022-06-21 04:25:04.399928,1968.1509374999996,2002.045243055556,1994.4973125000008,1992.3657738095235,0.1507,0.6031914893617019,0.6031914893617019,0.15268104355841358,0.15268104355841358,3333.0,3333.0,0.018,False,False
NFTStrangeTimes,1506991290646466566,6871,517,2336,7633,1416,1511,5283,5876,7.7392916666666665,0.6212758333333341,0,0,2022-06-21 04:25:26.152769,1968.6065625000008,1978.718159722222,2001.452708333334,2015.2197172619035,0.03,-0.9309868875086267,-0.9309868875086267,0.06142190123120121,0.06142190123120121,7826.0,7826.0,0.0117,False,False
