Datetime,Symbol,Open,High,Low,Close
2022-05-18 00:00:00,ETH,2088.8304066302,2089.3976991443,2087.277343289,2087.3065638664
2022-05-18 00:01:00,ETH,2087.1730255588,2092.1469892899,2087.1730255588,2092.1469892899
2022-05-18 00:02:00,ETH,2091.900141874,2095.8460849312,2091.3290712999,2095.8343002955
2022-05-18 00:03:00,ETH,2096.3077589291,2097.0939130148,2092.7592369069,2093.5043672884
2022-05-18 00:04:00,ETH,2093.449274338,2094.495421389,2092.0964077477,2092.9613305648
2022-05-18 00:05:00,ETH,2092.8287181232,2095.9047634367,2092.8287181232,2095.9047634367
2022-05-18 00:06:00,ETH,2095.657897208,2096.9182956875,2095.3532520163,2095.9774005979
2022-05-18 00:07:00,ETH,2096.0857145634,2097.3692308569,2095.8171092581,2097.2864617605
2022-05-18 00:08:00,ETH,2097.1958557444,2101.1382425285,2096.697991084,2101.0599661935
2022-05-18 00:09:00,ETH,2101.1740313632,2106.8053687661,2100.3880585508,2103.826786337
2022-05-18 00:10:00,ETH,2104.1600806599,2107.6762173819,2103.8210357304,2107.6762173819
2022-05-18 00:11:00,ETH,2107.7177059901,2107.7177059901,2103.8255191499,2104.1768396824
2022-05-18 00:12:00,ETH,2103.9898507029,2104.0165339263,2098.5001184157,2100.2526222865
2022-05-18 00:13:00,ETH,2100.0520093377,2101.2689735736,2099.6064308081,2099.8043543426
2022-05-18 00:14:00,ETH,2099.8976192184,2100.0330116997,2098.5238182193,2099.5142185675
2022-05-18 00:15:00,ETH,2099.4702059509,2100.0332295988,2096.8368425736,2096.9731173132
2022-05-18 00:16:00,ETH,2096.7757295627,2097.0964102588,2095.8601446001,2096.5859571488
2022-05-18 00:17:00,ETH,2096.6677185911,2096.7388225049,2095.2533448708,2096.4666719745
2022-05-18 00:18:00,ETH,2096.302745999,2099.6837333377,2096.2526206401,2099.6749333607
2022-05-18 00:19:00,ETH,2099.812962271,2103.4988636367,2099.812962271,2102.3681425789
2022-05-18 00:20:00,ETH,2102.7178921841,2104.1619028213,2098.9526192233,2098.9526192233
2022-05-18 00:21:00,ETH,2099.0740198585,2099.4199716677,2097.8794361878,2098.3856459969
2022-05-18 00:22:00,ETH,2098.4797667377,2099.1271588395,2097.6992424222,2097.9607682662
2022-05-18 00:23:00,ETH,2098.3196952048,2098.4636477269,2095.6688293447,2096.0411676737
2022-05-18 00:24:00,ETH,2095.9462802122,2097.2521797042,2095.9462802122,2097.0122057738
2022-05-18 00:25:00,ETH,2096.9339276792,2096.9552084043,2095.6952701459,2096.2762798991
2022-05-18 00:26:00,ETH,2095.8114727453,2096.6327243872,2094.6073136624,2096.6327243872
2022-05-18 00:27:00,ETH,2097.2251711928,2099.7041091653,2097.1400798373,2097.3974390726
2022-05-18 00:28:00,ETH,2097.3099380298,2098.3575743883,2097.3099380298,2097.8944714308
2022-05-18 00:29:00,ETH,2098.0051842654,2099.3371376437,2097.1142944939,2099.1334927446
2022-05-18 00:30:00,ETH,2099.1334365389,2102.6368391701,2098.397011144,2101.036212994
